direction,sign,offset,lower_angle,upper_angle,lower_flare,upper_flare,case_label
offset,minus,-9.022220e-04,+4.315173,-0.669035,0.001896446,0.000764958,offset-
offset,plus,+1.097778e-03,+4.315173,-0.669035,0.001896446,0.000764958,offset+
lower_angle,minus,+9.777800e-05,+2.815173,-0.669035,0.001896446,0.000764958,lower_angle-
lower_angle,plus,+9.777800e-05,+5.815173,-0.669035,0.001896446,0.000764958,lower_angle+
upper_angle,minus,+9.777800e-05,+4.315173,-2.169035,0.001896446,0.000764958,upper_angle-
upper_angle,plus,+9.777800e-05,+4.315173,+0.830965,0.001896446,0.000764958,upper_angle+
lower_flare,minus,+9.777800e-05,+4.315173,-0.669035,0.001771446,0.000764958,lower_flare-
lower_flare,plus,+9.777800e-05,+4.315173,-0.669035,0.002021446,0.000764958,lower_flare+
upper_flare,minus,+9.777800e-05,+4.315173,-0.669035,0.001896446,0.000639958,upper_flare-
upper_flare,plus,+9.777800e-05,+4.315173,-0.669035,0.001896446,0.000889958,upper_flare+
offset_lower_angle,plus_plus,+1.097778e-03,+5.815173,-0.669035,0.001896446,0.000764958,offset+_lower_angle+
offset_upper_angle,plus_minus,+1.097778e-03,+4.315173,-2.169035,0.001896446,0.000764958,offset+_upper_angle-
offset_lower_flare,minus_plus,-9.022220e-04,+4.315173,-0.669035,0.002021446,0.000764958,offset-_lower_flare+
offset_upper_flare,minus_minus,-9.022220e-04,+4.315173,-0.669035,0.001896446,0.000639958,offset-_upper_flare-
lower_angle_upper_angle,plus_plus,+9.777800e-05,+5.815173,+0.830965,0.001896446,0.000764958,lower_angle+_upper_angle+
lower_angle_lower_flare,plus_minus,+9.777800e-05,+5.815173,-0.669035,0.001771446,0.000764958,lower_angle+_lower_flare-
lower_angle_upper_flare,minus_plus,+9.777800e-05,+2.815173,-0.669035,0.001896446,0.000889958,lower_angle-_upper_flare+
upper_angle_lower_flare,minus_minus,+9.777800e-05,+4.315173,-2.169035,0.001771446,0.000764958,upper_angle-_lower_flare-
upper_angle_upper_flare,plus_plus,+9.777800e-05,+4.315173,+0.830965,0.001896446,0.000889958,upper_angle+_upper_flare+
lower_flare_upper_flare,plus_minus,+9.777800e-05,+4.315173,-0.669035,0.002021446,0.000639958,lower_flare+_upper_flare-
