direction,sign,offset,lower_angle,upper_angle,lower_flare,upper_flare,case_label
offset,minus,0.0000777780,4.3125713000,-0.6690345000,0.0018964460,0.0007649580,nm_tke_p2_offset_minus_0p1pct
offset,plus,0.0001177780,4.3125713000,-0.6690345000,0.0018964460,0.0007649580,nm_tke_p2_offset_plus_0p1pct
lower_angle,minus,0.0000977780,4.2825713000,-0.6690345000,0.0018964460,0.0007649580,nm_tke_p2_lower_angle_minus_0p1pct
lower_angle,plus,0.0000977780,4.3425713000,-0.6690345000,0.0018964460,0.0007649580,nm_tke_p2_lower_angle_plus_0p1pct
upper_angle,minus,0.0000977780,4.3125713000,-0.6990345000,0.0018964460,0.0007649580,nm_tke_p2_upper_angle_minus_0p1pct
upper_angle,plus,0.0000977780,4.3125713000,-0.6390345000,0.0018964460,0.0007649580,nm_tke_p2_upper_angle_plus_0p1pct
lower_flare,minus,0.0000977780,4.3125713000,-0.6690345000,0.0018939460,0.0007649580,nm_tke_p2_lower_flare_minus_0p1pct
lower_flare,plus,0.0000977780,4.3125713000,-0.6690345000,0.0018989460,0.0007649580,nm_tke_p2_lower_flare_plus_0p1pct
upper_flare,minus,0.0000977780,4.3125713000,-0.6690345000,0.0018964460,0.0007624580,nm_tke_p2_upper_flare_minus_0p1pct
upper_flare,plus,0.0000977780,4.3125713000,-0.6690345000,0.0018964460,0.0007674580,nm_tke_p2_upper_flare_plus_0p1pct
